testscr;str;avginc;el_pct
690.8;17.88991;22.69;0
661.2;21.52466;9.824;4.583333
643.6;18.69723;8.978;30
647.7;17.35714;8.978;0
640.85;18.67133;9.080333;13.85768
605.55;21.40625;10.415;12.40876
606.75;19.5;6.577;68.71795
609;20.89412;8.174;46.95946
612.5;19.94737;7.385;30.07916
612.65;20.80556;11.61333;40.27592
615.75;21.23809;8.931;52.9148
616.3;21;7.385;54.60993
616.3;20.6;5.335;42.71844
616.3;20.00822;8.279;20.53388
616.45;18.02778;9.63;80.12326
617.35;20.25196;7.454;49.41314
618.05;16.97787;6.216;85.53972
618.3;16.5098;7.764;58.90736
619.8;22.70402;7.022;77.00581
620.3;19.91111;5.699;49.81399
620.5;18.33333;7.941;40.68182
621.4;22.61905;9.63;16.21053
621.75;19.44828;7.405;45.07486
622.05;25.05263;9.63;39.07563
622.6;20.67544;8.019;76.66525
623.1;18.68235;8.523;40.49118
623.2;22.84553;7.983181;73.72023
623.45;19.26667;7.305;70.01154
623.6;19.25;8.934;55.96222
624.15;20.54545;8.554;11.06195
624.55;20.60697;6.613;80.42009
624.95;21.07268;12.409;63.13036
625.3;21.53581;8.126616;65.12186
625.85;19.904;11.431;53.4164
626.1;21.19407;11.72223;49.82307
626.8;21.86535;11.3325;35.46537
626.9;18.32965;9.598;56.12553
627.1;16.22857;14.558;32.39437
627.25;19.17857;22.06;65.5121
627.3;20.27737;9.709;53.05544
628.25;22.98614;11.48294;49.64253
628.4;20.44444;8.178;45.1087
628.55;19.82085;8.174;30.32046
628.65;23.20522;7.5;52.24313
628.75;19.26697;10.0505;36.80132
629.8;23.30189;7.332;30.2834
630.35;21.18829;12.58158;49.86457
630.4;20.8718;15.177;13.75921
630.55;19.01749;12.10913;28.8637
630.55;21.91938;11.785;52.80479
631.05;20.10124;14.062;44.08506
631.4;21.47651;10.472;35.25
631.85;20.06579;13.40512;37.49446
631.9;20.3751;12.3018;50.39059
631.95;22.44648;15.40407;31.07258
632;22.89524;13.762;18.26123
632.2;20.49797;14.184;34.70021
632.25;20;8.865;33.28895
632.45;22.25658;12.997;33.48771
632.85;21.56436;11.592;38.15875
632.95;19.47737;8.279;36.92946
633.05;17.67002;10.90564;32.98949
633.15;21.94756;13.40063;58.21666
633.65;21.78339;11.081;17.00365
633.9;19.14;9.082;17.65935
634;18.1105;13.39;7.321537
634.05;20.68242;14.60163;31.19816
634.1;22.62361;11.116;16.61744
634.1;21.7865;8.423;58.08104
634.15;18.58293;11.665;55.89254
634.2;21.54545;7.305;5.485232
634.4;21.15289;13.7306;14.42919
634.55;16.63333;11.116;22.84569
634.7;21.14438;10.36443;38.78334
634.9;19.78182;6.983;64.24632
634.95;18.98373;14.4678;25.22556
635.05;17.66767;14.653;5.382436
635.2;17.75499;10.629;6.079028
635.45;15.27273;9.781;0
635.6;14;10.656;0
635.6;20.59613;11.938;34.88918
635.75;16.31169;7.385;13.05732
635.95;21.12796;10.676;36.02512
636.1;17.48801;9.972;34.65347
636.5;17.88679;8.258;28.69198
636.6;19.30676;8.896;1.795332
636.7;20.89231;12.062;30.63329
636.9;21.28684;9.428895;59.03345
636.95;20.1956;8.920333;13.55932
637;24.95;10.098;5.01002
637.1;18.13043;11.83;0.9592326
637.35;20;11.553;0.6666667
637.65;18.72951;19.707;38.51204
637.95;18.25;7.105;0
637.95;18.99257;13.725;17.17391
638;19.88764;10.098;9.887006
638.2;19.37895;13.762;19.39164
638.3;20.46259;9.665;36.48936
638.3;22.29157;10.264;39.4
638.35;20.70474;11.5692;28.67762
638.55;19.06005;7.405;13.69863
638.7;20.23247;12.077;11.34984
639.25;19.69012;11.283;3.442623
639.3;20.36254;10.035;15.43027
639.35;19.75422;8.384;17.97378
639.5;19.37977;13.63;22.71773
639.75;22.92351;14.12767;18.43624
639.8;19.3734;11.26612;16.17171
639.85;19.15516;13.39;2.022129
639.9;21.3;11.938;9.624413
640.1;18.30357;8.258;41.46341
640.15;21.07926;14.22673;9.899035
640.5;18.79121;10.472;16.08187
640.75;19.62662;14.2429;43.49494
640.9;19.59016;14.066;8.786611
641.1;20.87187;15.968;39.02439
641.45;21.115;10.264;53.8903
641.45;20.08452;10.60247;41.13329
641.55;19.91049;10.523;1.383285
641.8;17.81285;11.238;35.44304
642.2;18.13333;10.056;8.639706
642.2;19.22221;11.183;15.34977
642.4;18.66072;7.385;19.85646
642.75;19.6;13.579;3.061224
643.05;19.28384;9.63;9.873188
643.2;22.81818;15.274;16.09562
643.25;18.80922;14.03425;43.49898
643.4;21.37363;10.23967;45.03795
643.4;20.02041;9.485;18.19572
643.5;21.49862;15.02987;15.48769
643.5;15.42857;9.781;0.9259259
643.7;22.4;13.192;7.589286
643.7;20.12709;12.216;29.08584
644.2;19.03798;14.076;0.1329787
644.2;17.34216;25.48733;50.85763
644.4;17.01863;14.867;11.49635
644.45;20.8;9.972;13.46154
644.45;21.15385;14.578;4.727273
644.5;18.45833;7.385;21.44469
644.55;19.14082;12.343;12.35368
644.7;19.40766;12.43133;30.14888
644.95;19.56896;14.906;15.85903
645.1;21.5012;12.6699;43.75
645.25;17.52941;10.333;0
645.55;16.43017;11.972;0
645.55;19.79654;12.827;16.65221
645.6;17.18613;10.04;3.220339
645.75;17.61589;13.335;0
645.75;20.12537;9.854;48.52459
646;22.16667;11.426;0.7518797
646.2;19.96154;15.131;1.926782
646.35;19.03945;14.578;13.51351
646.4;15.22436;10.268;0
646.5;21.14475;15.59286;16.71461
646.55;19.6439;11.238;5.943536
646.7;21.04869;15.05138;36.17438
646.9;20.17544;15.41318;44.97187
646.95;21.3913;11.081;16.66667
647.05;20.00833;10.098;15.18724
647.25;20.29137;14.2983;34.3378
647.3;17.66667;11.803;0
647.6;18.22055;9.972;13.0674
647.6;20.271;15.409;4.278075
648;20.19895;15.2938;39.59463
648.2;21.38424;15.53293;21.66837
648.25;20.97368;16.293;3.262233
648.35;20;12.875;7.857143
648.7;17.15328;16.623;39.57447
648.95;22.34977;12.54988;10.1278
649.15;22.17007;14.25857;27.52179
649.3;18.18182;18.326;14
649.5;18.95714;12.74914;8.842
649.7;19.74533;11.426;6.405847
649.85;16.42623;8.83;2.39521
650.45;16.6254;11.176;5.957447
650.55;16.38177;14.228;8.173913
650.6;20.07416;15.027;15.45894
650.65;17.99544;10.521;0
650.9;19.3913;18.626;0
650.9;16.42857;22.529;0
651.15;16.72949;18.29839;31.82458
651.2;24.41345;11.88575;12.80092
651.35;18.26415;9.926;0
651.4;18.95504;14.197;3.846154
651.45;21.03896;9.63;2.469136
651.8;20.74074;10.639;10.71429
651.85;18.1;14.475;0
651.9;19.84615;13.467;1.937984
652;21.6;9.665;4.62963
652.1;22.44242;12.708;5.250597
652.1;23.01438;17.823;27.54038
652.3;17.74892;17.156;14.98258
652.3;18.28664;19.58964;47.87938
652.35;19.26544;14.197;0
652.4;22.66667;11.912;1.764706
652.4;19.29412;13.386;0
652.5;17.36364;11.554;0
652.85;19.82143;19.026;7.289107
653.1;20.43378;16.407;17.028
653.4;21.03721;14.058;10.43555
653.5;19.92462;19.068;2.269861
653.55;19.00986;20.77;28.24791
653.55;23.82222;10.264;8.768657
653.7;19.36909;14.578;7.491857
653.8;19.82857;10.202;9.798271
653.85;15.25885;12.502;12.5
653.95;17.16129;13.906;0
654.1;21.81333;9.986;31.20415
654.2;19.07471;13.712;1.369193
654.2;25.78512;10.098;9.615385
654.3;18.21261;11.291;0
654.6;18.16606;13.225;24.25729
654.85;16.97297;13.63;9.55414
654.85;21.50087;14.623;5.925324
654.9;20.6;8.776;0.9708738
655.05;16.99029;10.338;18.28571
655.05;20.77954;16.323;4.984349
655.05;15.51247;10.65633;4.285715
655.2;19.88506;14.578;3.352601
655.3;21.39882;18.6306;32.7075
655.35;20.49751;11.116;9.46602
655.35;19.36376;14.59767;6.260787
655.4;17.65957;15.493;13.25301
655.55;21.01796;16.272;3.169135
655.7;19.05565;13.63;16.99115
655.8;22.53846;12.394;0.8532423
655.85;21.10787;15.331;6.649566
656.4;20.05135;12.666;0.1164144
656.5;14.20176;13.712;0
656.55;18.47687;17.78033;6.933744
656.65;18.63542;10.55667;9.558413
656.7;20.94595;10.523;0.9032258
656.8;21.08548;13.243;1.158301
656.8;18.69288;22.473;40.10802
657;20.86808;15.68465;16.66321
657;19.82558;23.48375;21.95536
657.15;19.75;11.649;8.86076
657.4;19.5;16.356;0.8547009
657.5;18.3908;14.074;0
657.55;18.78676;13.437;3.913894
657.65;19.77018;18.338;11.94946
657.75;19.33333;11.426;3.99274
657.8;21.46392;15.74992;22.93948
657.9;23.08492;15.779;2.48563
658;21.06299;14.062;9.871495
658.35;18.68687;12.174;0.5405406
658.6;20.77024;12.9;8.956632
658.8;19.30556;10.971;6.47482
659.05;20.1328;17.4352;20.72543
659.15;20.66964;14.76;0.1872659
659.35;22.28155;14.603;13.98693
659.4;20.60027;13.52233;8.741721
659.4;20.82734;16.669;20.03454
659.8;19.22492;13.52225;1.383399
659.9;17.65477;12.518;2.062706
660.05;17;18.326;28.57143
660.1;16.49773;11.466;0.1694915
660.2;19.78261;10.098;13.73626
660.3;22.30216;15.365;0
660.75;17.73077;10.31133;0.2169197
660.95;20.44836;16.98663;3.121039
661.35;20.37169;9.612;47.36842
661.45;20.16479;21.1105;22.70968
661.6;21.61538;16.47331;29.12074
661.6;20.56143;18.369;4.432624
661.85;19.95551;16.65411;4.814217
661.85;21.18387;18.54422;5.249205
661.85;18.81042;14.18;1.899441
661.9;20.57838;18.02955;8.662933
661.9;18.32461;13.586;10.47619
661.95;18.82063;12.64;1.242236
662.4;20.81633;11.103;0
662.4;20;7.5;9.375
662.45;19.68182;15.506;1.385681
662.5;19.39018;22.8414;35.34212
662.55;20.92732;19.82313;9.640718
662.55;19.94437;16.347;2.23152
662.65;20.79109;16.293;0.3664036
662.7;19.20354;13.248;0.5760369
662.75;19.02439;14.01;0
662.9;17.62058;14.163;0.8515815
663.35;20.23715;15.771;5.524554
663.45;19.29374;14.48333;0
663.5;18.82998;14.209;0
663.85;20.33949;15.167;2.437223
663.85;19.229;12.58425;20.76677
663.9;17.8913;10.551;2.18712
664;19.51881;16.956;13.62618
664;19.08451;17.709;13.28413
664.15;19.93548;16.272;1.941748
664.15;18.87326;17.9008;23.06157
664.3;20.14178;11.834;0.621118
664.4;23.55637;18.6202;3.255512
664.45;21.46479;12.431;0
664.7;19.19101;15.167;2.224824
664.75;20.1308;20.87575;18.55838
664.95;25.8;10.639;6.20155
664.95;18.77774;25.02962;18.45748
665.1;19.10982;16.7578;32.07255
665.2;19.70109;15.297;3.965517
665.35;18.61594;17.36945;15.33671
665.65;20.99721;22.096;27.66523
665.9;20;22.842;12.53731
665.95;20.98325;18.31988;12.68017
666;21.64262;25.03;6.908044
666.05;20.02967;21.957;14.96296
666.1;19.8114;18.79683;11.26933
666.15;18;10.639;9.722222
666.15;19.35811;17.508;3.315881
666.45;20.17912;18.593;0.6934813
666.55;21.11986;11.116;5.141129
666.6;23.38974;14.09767;4.969165
666.65;22.18182;12.64;6.967213
666.65;19.94283;20.93643;7.996065
666.7;17.78826;14.18;0.4819277
666.85;14.70588;11.826;2.5
666.85;19.04077;18.671;3.84131
667.15;20.89195;17.332;1.320423
667.2;19.83851;17.508;4.912281
667.45;19.52191;15.572;0
667.45;20.68622;15.56725;0.222387
667.6;18.18182;15.752;0
668;18.89224;20.47;17.85406
668.1;24.88889;9.709;4.464286
668.4;18.58064;11.116;9.548612
668.6;18.04;16.321;3.991131
668.65;17.73399;21.967;20.66667
668.8;21.45455;8.934;7.627119
668.9;19.92343;19.997;27.45367
668.95;20.33942;18.82723;10.85763
669.1;22.54608;18.11867;5.025734
669.3;21.10344;23.66738;14.23617
669.3;18.19743;22.139;0.2358491
669.35;20.10768;20.546;2.070689
669.35;19.15984;9.485;8.556149
669.8;19.54545;11.834;0
669.85;20.88889;18.799;4.787234
669.95;18.3915;10.551;3.960396
670;19.1799;15.519;1.579353
670.7;19.39771;21.63173;3.593909
671.25;21.67827;21.09575;8.726227
671.3;19.28889;15.167;0
671.6;20.34927;19.117;0.2640613
671.6;20.96416;17.62;1.447922
671.65;19.46039;15.167;0.1474926
671.7;19.28572;10.643;0
671.75;20.91979;20.73906;3.705006
671.9;20.90021;21.566;0.2685285
671.9;20.59575;17.656;0
671.95;19.375;17.709;4.516129
672.05;19.95122;27.816;2.444795
672.05;18.84973;18.593;0
672.3;18.11787;14.263;0
672.35;19.18341;22.758;5.405406
672.45;22;12.64;0
672.55;21.58416;11.238;6.422018
672.7;20.38889;16.956;6.539509
673.05;16.2931;17.709;14.28572
673.25;18.27778;25.622;3.678797
673.3;19.37472;18.726;0.5021761
673.55;18.90909;13.443;0
673.55;16.40693;15.18;22.69129
673.9;15.5914;19.117;0
674.25;18.70694;13.712;0.1416431
675.4;18.32985;17.508;2.733485
675.7;17.90235;11.834;1.683502
676.15;18.91157;13.273;0
676.55;20.32497;16.356;0.1436094
676.6;20.02457;18.626;0
676.85;24;23.733;11.04651
676.95;17.60784;12.934;0
677.25;19.34853;13.906;0
677.95;19.67846;15.428;0.0633312
678.05;18.72861;15.381;0
678.4;15.88235;22.529;0
678.8;20.05491;23.8061;15.0599
679.4;17.98825;24.603;1.479592
679.5;16.96629;36.174;2.649007
679.65;19.23937;33.455;1.479915
679.75;19.19586;20.48022;4.469893
679.8;19.59906;20.134;0.3264418
680.05;20.54348;19.3465;2.539683
680.45;18.58848;36.174;0.5420054
681.3;15.60419;22.86333;11.58537
681.3;15.29304;17.709;11.37724
681.6;17.65537;14.177;0
681.9;17.57976;41.093;1.374885
682.15;22.33333;21.957;2.238806
682.45;18.75;16.064;5.333333
682.55;18.10241;25.737;2.773156
682.65;20.25641;20.474;0
683.35;18.80207;35.81;17.72575
683.4;18.7723;13.567;0
684.3;20.40521;20.089;0
684.35;18.65079;18.283;0.4255319
684.8;20.70707;25.23972;6.067073
684.95;22;25.063;10.12759
686.05;17.69978;30.6285;3.375527
686.7;21.48329;27.47522;8.648542
687.55;16.70103;30.84;12.34568
689.1;19.57567;34.1595;1.589595
691.05;17.25806;43.23;1.495327
691.35;17.37526;27.94775;10.38552
691.9;17.34931;49.939;6.13402
693.95;16.26229;55.328;2.266289
694.25;17.70045;35.481;2.478632
694.8;20.12881;34.301;0.8936293
695.2;18.26539;38.62857;2.421652
695.3;14.54214;35.342;3.76569
696.55;19.15261;31.052;1.962865
698.2;17.36574;40.264;0.5780346
698.25;15.13898;35.81;2.807284
698.45;17.84266;43.23;1.363636
699.1;15.40704;50.677;1.164483
700.3;18.86534;40.402;2.050406
704.3;16.47413;28.717;5.995935
706.75;17.86263;41.73411;4.726101
645;21.88586;23.733;24.26304
672.2;20.2;9.952;2.970297
655.75;19.0364;12.502;5.005624
